LPN,La Plaine Stade de France,48.918087,2.362138,
LQK,Liancourt Saint-Pierre,49.220398,1.905463,
LQN,Lognes,48.838863,2.633432,
LSD,Le Stade,48.930939,2.260414,
LSI,Les Essarts le Roi,48.722027,1.890225,
LSW,Les Saules,48.745483,2.417250,
LUZ,Luzarches,49.116966,2.420630,
LVZ,La Varenne Chennevières,48.794464,2.514020,
LWA,Les Vallées,48.913556,2.257515,
LXJ,Luxembourg,48.846577,2.340401,
LYO,Lardy,48.520696,2.255822,
LYQ,Livry sur Seine,48.510365,2.679138,
LYV,Les Yvris Noisy le Grand,48.823172,2.579757,
LZO,Lizy sur Ourcq,49.021873,3.031476,
LZV,Lozère,48.706017,2.211796,
MAE,Maule,48.909138,1.856990,
MAG,Magenta,48.879841,2.358354,
MAL,Malesherbes,48.293365,2.401026,
MAQ,Mareuil sur Ourcq,49.135387,3.075275,
MBP,Montigny Beauchamp,49.007488,2.197844,
MBR,Marchezais Broué,48.768444,1.513412,
MDN,Meudon,48.814554,2.242432,
MDS,Musée d'Orsay,48.860598,2.325372,
MEA,Meaux,48.957485,2.873930,
MEL,Melun,48.527504,2.655134,
MFA,Maisons Alfort Alfortville,48.801931,2.426472,
MFL,Montreuil,48.806786,2.151179,
MFY,Meudon Val Fleury,48.807966,2.241142,
MHD,Meulan Hardricourt,49.005798,1.902126,
MJM,Mareil sur Mauldre,48.894005,1.871416,
MJW,Moulin Galant,48.586100,2.473312,
MKN,Montigny sur Loing,48.336624,2.738501,
MKU,Montgeroult Courcelles,49.080494,2.003870,
MLB,Marles en Brie,48.734333,2.868073,
MLF,Maisons Laffitte,48.945833,2.145076,
MLM,Montfort l'Amaury Méré,48.802525,1.815350,
MLR,Marly le Roi,48.871555,2.096905,
MLV,Mériel,49.077885,2.205379,
MNY,Mennecy,48.570896,2.432844,
MOF,Mortcerf,48.789280,2.907684,
MOR,Moret Veneux les Sablons,48.378181,2.798398,
MP,Massy Palaiseau,48.725372,2.260116,
MPJ,Mareil Marly,48.881229,2.079166,
MPU,Massy Palaiseau,48.724438,2.257962,
MRK,Maurecourt,48.987108,2.059874,
MRT,Mormant,48.613588,2.888757,
MS,Montargis,48.007179,2.742976,
MSN,Maisse,48.392900,2.392887,
MSO,Montsoult Maffliers,49.066181,2.322341,
MSX,Marolles en Hurepoix,48.564995,2.290892,
MTE,Mantes la Jolie,48.989246,1.703694,
MTQ,Mantes Station,48.983309,1.715911,
MTU,Montereau,48.379936,2.942977,
MVC,Marne la Vallée Chessy,48.871140,2.783764,
